name,id,home,team,pos,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds
C.Robertson,00-0028834,no,NO,LB,26,1,2,2,51,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M.Lattimore,00-0033874,no,NO,N/A,9,1,5,0,44,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Jordan,00-0027962,no,NO,DE,14,1,1,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Siemian,00-0032156,no,DEN,QB,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349,206,14,12,2,0,2285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,85,1,1,0,0,127
J.Charles,00-0026213,no,DEN,RB,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,23,0,0,0,129,69,114,12,1,0,0,296
C.Anderson,00-0029854,no,DEN,RB,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,16,28,1,1,1,224,245,251,31,3,0,0,1007
E.Sanders,00-0027685,no,DEN,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,3,0,2,0,258,10,47,2,0,0,555,0,0,0,0,0,0,0
B.Fowler,00-0030670,no,DEN,WR,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,1,0,192,28,29,3,0,0,350,0,0,0,0,0,0,0
V.Green,00-0028142,no,DEN,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,2,14,1,0,0,191,0,0,0,0,0,0,0
A.Derby,00-0031609,no,DEN,TE,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,33,21,2,0,0,244,0,0,0,0,0,0,0
D. Thomas,00-0027874,no,DEN,WR,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,336,51,83,5,2,0,949,0,0,0,0,0,0,0
J.Heuerman,00-0032227,no,DEN,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,67,9,2,0,0,142,0,0,0,0,0,0,0
B.McManus,00-0029822,no,DEN,K,0,0,0,0,0,0,0,0,0,0,30,24,494,72,27,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,26,1,26,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R.Dixon,00-0032943,no,DEN,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,23,828,73,3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C.Latimer,00-0031344,no,DEN,WR,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,104,118,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,47,19,2,1,1,287,0,0,0,0,0,0,0
I.McKenzie,00-0033466,no,DEN,N/A,0,0,0,0,0,2,3,6,3,0,0,0,0,0,0,0,0,0,0,50,50,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,95,150,0,21,0,29,0,4,0,0,0,29,1,4,0,0,0,0,4
B.Roby,00-0031372,no,DEN,FS,7,1,1,1,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.Wolfe,00-0029586,no,DEN,DE,14,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T.Davis,00-0031427,no,DEN,MLB,33,0,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
